chloride,cem,slag,sf,fa,wb_ratio,sol,per,depth
0.202578935,1,0,0,0,1,0.659222116,0.018361737,0.100671141
0.184140757,1,0,0,0,1,0.659222116,0.018361737,0.11409396
0.165702579,1,0,0,0,1,0.659222116,0.018361737,0.127516779
0.147264401,1,0,0,0,1,0.659222116,0.018361737,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.018361737,0.154362416
0.165702579,1,0,0,0,1,0.659222116,0.018361737,0.167785235
0.128826223,1,0,0,0,1,0.659222116,0.018361737,0.181208054
0.184140757,1,0,0,0,1,0.659222116,0.018361737,0.194630872
0.479151603,1,0,0,0,1,0.659222116,0.005277625,0.006711409
0.497589781,1,0,0,0,1,0.659222116,0.005277625,0.020134228
0.442275247,1,0,0,0,1,0.659222116,0.005277625,0.033557047
0.368522536,1,0,0,0,1,0.659222116,0.005277625,0.046979866
0.313208002,1,0,0,0,1,0.659222116,0.005277625,0.060402685
0.276331646,1,0,0,0,1,0.659222116,0.005277625,0.073825503
0.257893468,1,0,0,0,1,0.659222116,0.005277625,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.005277625,0.100671141
0.184140757,1,0,0,0,1,0.659222116,0.005277625,0.11409396
0.165702579,1,0,0,0,1,0.659222116,0.005277625,0.127516779
0.202578935,1,0,0,0,1,0.659222116,0.005277625,0.140939597
0.128826223,1,0,0,0,1,0.659222116,0.005277625,0.154362416
0.110388045,1,0,0,0,1,0.659222116,0.005277625,0.167785235
0.091949867,1,0,0,0,1,0.659222116,0.005277625,0.181208054
0.110388045,1,0,0,0,1,0.659222116,0.005277625,0.194630872
0.516027959,1,0,0,0,1,0.659222116,0.016382628,0.006711409
0.534466136,1,0,0,0,1,0.659222116,0.016382628,0.020134228
0.460713425,1,0,0,0,1,0.659222116,0.016382628,0.033557047
0.442275247,1,0,0,0,1,0.659222116,0.016382628,0.046979866
0.423837069,1,0,0,0,1,0.659222116,0.016382628,0.060402685
0.294769824,1,0,0,0,1,0.659222116,0.016382628,0.073825503
0.313208002,1,0,0,0,1,0.659222116,0.016382628,0.087248322
0.23945529,1,0,0,0,1,0.659222116,0.016382628,0.100671141
0.221017113,1,0,0,0,1,0.659222116,0.016382628,0.11409396
0.147264401,1,0,0,0,1,0.659222116,0.016382628,0.127516779
0.110388045,1,0,0,0,1,0.659222116,0.016382628,0.140939597
0.07351169,1,0,0,0,1,0.659222116,0.016382628,0.154362416
0.091949867,1,0,0,0,1,0.659222116,0.016382628,0.167785235
0.110388045,1,0,0,0,1,0.659222116,0.016382628,0.181208054
0.091949867,1,0,0,0,1,0.659222116,0.016382628,0.194630872
0.479151603,1,0,0,0,1,0.659222116,0.015503024,0.006711409
0.516027959,1,0,0,0,1,0.659222116,0.015503024,0.020134228
0.479151603,1,0,0,0,1,0.659222116,0.015503024,0.033557047
0.350084358,1,0,0,0,1,0.659222116,0.015503024,0.046979866
0.294769824,1,0,0,0,1,0.659222116,0.015503024,0.060402685
0.313208002,1,0,0,0,1,0.659222116,0.015503024,0.073825503
0.202578935,1,0,0,0,1,0.659222116,0.015503024,0.087248322
0.165702579,1,0,0,0,1,0.659222116,0.015503024,0.100671141
0.128826223,1,0,0,0,1,0.659222116,0.015503024,0.11409396
0.110388045,1,0,0,0,1,0.659222116,0.015503024,0.127516779
